metric,value,denominator,population,arm,source_artifact,ci95,status,note
P@10 paired difference: DOS-RAG vs DOS-RAG budget-matched,0.0947,152 KCs,data-mining,DOS-RAG vs DOS-RAG budget-matched,retrieval_paired_ci.json,"[0.0559, 0.1355]",SUPPORTED_WITH_SCOPE,"automated pooled qrels; concept-clustered bootstrap B=10,000"
R@10 paired difference: DOS-RAG vs DOS-RAG budget-matched,0.0539,152 KCs,data-mining,DOS-RAG vs DOS-RAG budget-matched,retrieval_paired_ci.json,"[0.0306, 0.0776]",SUPPORTED_WITH_SCOPE,"automated pooled qrels; concept-clustered bootstrap B=10,000"
nDCG@10 paired difference: DOS-RAG vs DOS-RAG budget-matched,-0.0131,152 KCs,data-mining,DOS-RAG vs DOS-RAG budget-matched,retrieval_paired_ci.json,"[-0.048, 0.0209]",NO_SEPARATION,"automated pooled qrels; concept-clustered bootstrap B=10,000"
R@20 paired difference: DOS-RAG vs DOS-RAG budget-matched,0.2147,152 KCs,data-mining,DOS-RAG vs DOS-RAG budget-matched,retrieval_paired_ci.json,"[0.1771, 0.2564]",SUPPORTED_WITH_SCOPE,"automated pooled qrels; concept-clustered bootstrap B=10,000"
groundedness (Selene rubric),0.9518,143 drafts,data-mining,intrinsic_P-Q,v3_selene_stored_ablation.jsonl,,INSTRUMENT_SENSITIVE,
groundedness (MiniCheck entailment),0.6406,143 drafts,data-mining,intrinsic_P-Q,v3_minicheck_ablation.jsonl,,INSTRUMENT_SENSITIVE,
groundedness (Selene rubric),0.9634,133 drafts,data-mining,intrinsic_P-G,v3_selene_stored_ablation.jsonl,,INSTRUMENT_SENSITIVE,
groundedness (MiniCheck entailment),0.6966,133 drafts,data-mining,intrinsic_P-G,v3_minicheck_ablation.jsonl,,INSTRUMENT_SENSITIVE,
groundedness (Selene rubric),0.813,148 drafts,data-mining,intrinsic_P-D,v3_selene_stored_ablation.jsonl,,INSTRUMENT_SENSITIVE,
groundedness (MiniCheck entailment),0.5865,148 drafts,data-mining,intrinsic_P-D,v3_minicheck_ablation.jsonl,,INSTRUMENT_SENSITIVE,
groundedness (Selene rubric),0.9517,144 drafts,data-mining,extrinsic_P-Q,v3_selene_stored_ablation.jsonl,,INSTRUMENT_SENSITIVE,
groundedness (MiniCheck entailment),0.6275,144 drafts,data-mining,extrinsic_P-Q,v3_minicheck_ablation.jsonl,,INSTRUMENT_SENSITIVE,
groundedness (Selene rubric),0.9354,147 drafts,data-mining,extrinsic_B-Q,v3_selene_stored_ablation.jsonl,,INSTRUMENT_SENSITIVE,
groundedness (MiniCheck entailment),0.7073,147 drafts,data-mining,extrinsic_B-Q,v3_minicheck_ablation.jsonl,,INSTRUMENT_SENSITIVE,
groundedness (Selene rubric),0.9691,154 drafts,data-mining,extrinsic_DOS-Q,v3_selene_stored_ablation.jsonl,,INSTRUMENT_SENSITIVE,
groundedness (MiniCheck entailment),0.9218,154 drafts,data-mining,extrinsic_DOS-Q,v3_minicheck_ablation.jsonl,,INSTRUMENT_SENSITIVE,
groundedness (Selene rubric),0.9274,142 drafts,data-mining,sensitivity_DOS-Q_matched,v3_selene_stored_ablation.jsonl,,INSTRUMENT_SENSITIVE,
groundedness (MiniCheck entailment),0.7133,142 drafts,data-mining,sensitivity_DOS-Q_matched,v3_minicheck_ablation.jsonl,,INSTRUMENT_SENSITIVE,
"matched claims, both instruments",7747,ablation,data-mining,all,v3_selene_stored + v3_minicheck,,SUPPORTED,
correct refusals on corpus-unsupported KCs,5,of 7,data-mining,extrinsic_B-Q,ablation_rows + reference library,,PROVISIONAL_PENDING_SUPPORT_BOUNDARY_AUDIT,
drafted despite corpus-unsupported label,2,of 7,data-mining,extrinsic_B-Q,ablation_rows + reference library,,PROVISIONAL_PENDING_SUPPORT_BOUNDARY_AUDIT,
correct refusals on corpus-unsupported KCs,2,of 7,data-mining,extrinsic_DOS-Q,ablation_rows + reference library,,PROVISIONAL_PENDING_SUPPORT_BOUNDARY_AUDIT,
drafted despite corpus-unsupported label,5,of 7,data-mining,extrinsic_DOS-Q,ablation_rows + reference library,,PROVISIONAL_PENDING_SUPPORT_BOUNDARY_AUDIT,
correct refusals on corpus-unsupported KCs,7,of 7,data-mining,extrinsic_P-Q,ablation_rows + reference library,,PROVISIONAL_PENDING_SUPPORT_BOUNDARY_AUDIT,
drafted despite corpus-unsupported label,0,of 7,data-mining,extrinsic_P-Q,ablation_rows + reference library,,PROVISIONAL_PENDING_SUPPORT_BOUNDARY_AUDIT,
correct refusals on corpus-unsupported KCs,6,of 7,data-mining,intrinsic_P-D,ablation_rows + reference library,,PROVISIONAL_PENDING_SUPPORT_BOUNDARY_AUDIT,
drafted despite corpus-unsupported label,1,of 7,data-mining,intrinsic_P-D,ablation_rows + reference library,,PROVISIONAL_PENDING_SUPPORT_BOUNDARY_AUDIT,
correct refusals on corpus-unsupported KCs,6,of 7,data-mining,intrinsic_P-G,ablation_rows + reference library,,PROVISIONAL_PENDING_SUPPORT_BOUNDARY_AUDIT,
drafted despite corpus-unsupported label,1,of 7,data-mining,intrinsic_P-G,ablation_rows + reference library,,PROVISIONAL_PENDING_SUPPORT_BOUNDARY_AUDIT,
correct refusals on corpus-unsupported KCs,7,of 7,data-mining,intrinsic_P-Q,ablation_rows + reference library,,PROVISIONAL_PENDING_SUPPORT_BOUNDARY_AUDIT,
drafted despite corpus-unsupported label,0,of 7,data-mining,intrinsic_P-Q,ablation_rows + reference library,,PROVISIONAL_PENDING_SUPPORT_BOUNDARY_AUDIT,
correct refusals on corpus-unsupported KCs,5,of 7,data-mining,sensitivity_DOS-Q_matched,ablation_rows + reference library,,PROVISIONAL_PENDING_SUPPORT_BOUNDARY_AUDIT,
drafted despite corpus-unsupported label,2,of 7,data-mining,sensitivity_DOS-Q_matched,ablation_rows + reference library,,PROVISIONAL_PENDING_SUPPORT_BOUNDARY_AUDIT,
drafts produced from an empty evidence set,0,of 1113,data-mining,all,ablation_rows.jsonl,,SUPPORTED,
evaluation-stage rerun agreement,0.9983,7610 matched claims,data-mining,all,v2_faith vs v3_selene_stored_ablation,,SUPPORTED_WITH_SCOPE,"996 drafts; excludes 15 with differing claim counts. Covers claim decomposition + judging, NOT retrieval or drafting"
"completeness calibration, raw agreement",0.8611,36 dev labels,calibration subset,-,qualification re-run,,DEVELOPMENT_CALIBRATION,leave-one-out threshold; same labels informed metric adoption
"completeness calibration, Gwet AC1",0.7224,36 dev labels,calibration subset,-,qualification re-run,,DEVELOPMENT_CALIBRATION,
"v1 binary completeness, raw agreement",0.556,36 dev labels,calibration subset,-,qualification_decision.json,,FAILED,
"judge-human agreement, evidence faithfulness raw",0.6333,30,calibration subset,-,qualification_decision.json,,INCONCLUSIVE_MINORITY_CLASS,human FAIL n=6 (<10)
"judge-human agreement, evidence faithfulness AC1",0.3536,30,calibration subset,-,qualification_decision.json,,INCONCLUSIVE_MINORITY_CLASS,
"judge-human agreement, evidence faithfulness kappa",0.2029,30,calibration subset,-,qualification_decision.json,,SECONDARY_STATISTIC,cohens_kappa_SECONDARY_ONLY
"judge-human agreement, reference source correctness raw",0.6667,30,calibration subset,-,qualification_decision.json,,INCONCLUSIVE_MINORITY_CLASS,human FAIL n=8 (<10); fail recall 0.0
"judge-human agreement, reference source correctness AC1",0.5385,30,calibration subset,-,qualification_decision.json,,INCONCLUSIVE_MINORITY_CLASS,
"judge-human agreement, reference source correctness kappa",-0.1194,30,calibration subset,-,qualification_decision.json,,SECONDARY_STATISTIC,negative under prevalence imbalance; not an interpretable magnitude
"judge-human agreement, core completeness binary kappa",0.234,36,calibration subset,-,qualification_decision.json,,SECONDARY_STATISTIC,binary M3 NOT_QUALIFIED; superseded by graded metric
"judge-human agreement, core completeness graded kappa",0.7239,36,calibration subset,-,derived,,DERIVED_THIS_SESSION,"computed from the stored LOO confusion matrix (TP 16, TN 15, FP 1, FN 4) in EVALUATION_FINDINGS.md F-55; reconstruction validated by reproducing the stored AC1 0.7224"
"judge-human agreement, target alignment raw",0.9062,32,calibration subset,-,qualification_decision.json,,INCONCLUSIVE_MINORITY_CLASS,human FAIL n=5 (<10)
"judge-human agreement, target alignment AC1",0.8836,32,calibration subset,-,qualification_decision.json,,INCONCLUSIVE_MINORITY_CLASS,
"judge-human agreement, target alignment kappa",0.5294,32,calibration subset,-,qualification_decision.json,,SECONDARY_STATISTIC,kappa paradox: raw 0.9062 with 27/32 majority prevalence
"judge-human agreement, retrieval claim support n",0,0,calibration subset,-,qualification_decision.json,,NOT_VALIDATED,M4A has zero human labels; retrieval results rest on automated pooled qrels
"minicheck padding test, native support rate",0.6519,1333 claims,144 intrinsic_P-Q drafts,-,"minicheck faith-dilution job Cluster A:1706341 (COMPLETED 00:05:21); own script run_minicheck_faith_dilution.py, F-46 stimulus construction reused verbatim",,DERIVED_THIS_SESSION,
"minicheck padding test, padded support rate",0.9152,1333 claims,144 intrinsic_P-Q drafts,-,"minicheck faith-dilution job Cluster A:1706341 (COMPLETED 00:05:21); own script run_minicheck_faith_dilution.py, F-46 stimulus construction reused verbatim",,DERIVED_THIS_SESSION,padded to 123 passages with topically-unrelated distractors
"minicheck padding test, shift",0.2633,1333 claims,144 intrinsic_P-Q drafts,-,"minicheck faith-dilution job Cluster A:1706341 (COMPLETED 00:05:21); own script run_minicheck_faith_dilution.py, F-46 stimulus construction reused verbatim",,DERIVED_THIS_SESSION,padded minus native
"minicheck padding test, claims flipping to supported",414,1333 claims,144 intrinsic_P-Q drafts,-,"minicheck faith-dilution job Cluster A:1706341 (COMPLETED 00:05:21); own script run_minicheck_faith_dilution.py, F-46 stimulus construction reused verbatim",,DERIVED_THIS_SESSION,
"minicheck padding test, claims flipping to not-supported",63,1333 claims,144 intrinsic_P-Q drafts,-,"minicheck faith-dilution job Cluster A:1706341 (COMPLETED 00:05:21); own script run_minicheck_faith_dilution.py, F-46 stimulus construction reused verbatim",,DERIVED_THIS_SESSION,
"minicheck padding test, n paired claims",1333,144 intrinsic_P-Q drafts,144 intrinsic_P-Q drafts,-,minicheck faith-dilution job Cluster A:1706341,,DERIVED_THIS_SESSION,
"selene padding test, native support rate (row-mean)",0.9537,143 rows,143 usable intrinsic_P-Q rows,-,"reproduced from v2_f46_faith_dilution.jsonl, row-level mean-support-rate aggregation (n=143 rows); exactly reproduces the already-published +0.0175/p=0.0008 figure",,DERIVED_THIS_SESSION,
"selene padding test, padded support rate (row-mean)",0.9712,143 rows,143 usable intrinsic_P-Q rows,-,"reproduced from v2_f46_faith_dilution.jsonl, row-level mean-support-rate aggregation (n=143 rows); exactly reproduces the already-published +0.0175/p=0.0008 figure",,DERIVED_THIS_SESSION,
